MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,LotFrontage_na,MasVnrArea_na,GarageYrBlt_na
1.0,0.6666666666666666,0.42942534215338624,0.4640105433411248,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.0,0.9523809523809523,0.4,1.0,0.75,1.0,0.8888888888888888,0.5,0.0,0.01639344262295082,1.0,0.0,0.9,0.9,1.0,0.1675,0.9999999999999999,0.5,1.0,0.9999999999999999,0.6666666666666667,0.6666666666666667,1.0000000000000002,0.23564847625797308,0.0,0.0,0.052226027397260275,0.23764320785597384,1.0,1.0,1.0,1.0,0.5623330457006706,0.5990314769975787,0.0,0.7409898550895777,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.9999999999999999,0.75,1.0,0.3333333333333333,0.8,0.75,0.0,1.0,0.75,0.6050775740479548,0.5,0.5,1.0,0.147024504084014,0.13147410358565736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9090909090909091,1.0,1.0,0.0,0.0,0.0
1.0,0.6666666666666666,0.44681001146567345,0.38939641305364026,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.0,0.6190476190476191,0.4,1.0,0.75,1.0,0.6666666666666665,0.5,0.058823529411764705,0.14754098360655737,0.0,0.0,0.9,0.9,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666667,0.0,1.0000000000000002,0.13022678951098512,0.0,0.0,0.11001712328767123,0.1623567921440262,1.0,1.0,1.0,1.0,0.4119557796796913,0.42276029055690073,0.0,0.608406380099213,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.6000000000000001,0.75,0.07476635514018691,0.5,0.75,0.5916784203102962,0.5,0.5,1.0,0.0,0.3665338645418327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4545454545454545,0.6666666666666666,0.75,1.0,0.0,0.0
0.75,0.6666666666666666,0.5303418530338768,0.33798276906173985,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.0,0.6190476190476191,0.4,1.0,0.75,0.6000000000000001,0.4444444444444445,0.625,0.2426470588235294,0.5573770491803279,1.0,0.0,0.6000000000000001,0.6000000000000001,0.3333333333333333,0.0,0.33333333333333337,0.5,0.5,0.6666666666666666,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.3955479452054794,0.15122749590834697,1.0,0.5,1.0,1.0,0.3850828353516986,0.0,0.0,0.3599660524161865,0.0,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.33333333333333337,0.24999999999999997,1.0,0.0,0.0,0.25,0.2523364485981308,0.0,0.25,0.19746121297602257,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.2727272727272727,0.6666666666666666,0.75,0.0,0.0,0.0
0.75,0.6666666666666666,0.5386599549519617,0.41462253108748803,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.9523809523809523,0.4,1.0,0.75,0.6000000000000001,0.8888888888888888,0.5,0.0,0.01639344262295082,1.0,0.0,1.0,1.0,0.6666666666666666,0.28250000000000003,0.9999999999999999,0.5,1.0,0.9999999999999999,0.6666666666666667,0.6666666666666667,1.0000000000000002,0.008504606661941885,0.0,0.0,0.759417808219178,0.2981996726677578,1.0,1.0,1.0,1.0,0.6432749245034994,0.0,0.0,0.6013177268219771,0.0,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.5833333333333334,1.0,0.3333333333333333,0.8,0.75,0.0,0.0,0.75,0.5458392101551481,0.5,0.5,1.0,0.0,0.2151394422310757,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5454545454545454,1.0,1.0,0.0,0.0,0.0
0.6666666666666666,0.6666666666666666,0.44681001146567345,0.42140579147963986,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.3333333333333333,0.4,1.0,0.75,0.8,0.5555555555555556,0.625,0.33088235294117646,0.7540983606557378,0.0,0.0,0.4,0.6000000000000001,0.6666666666666666,0.07187500000000001,0.33333333333333337,0.75,0.5,0.33333333333333337,0.6666666666666667,1.0,0.4000000000000001,0.09992912827781715,0.0,0.0,0.24101027397260272,0.1844517184942717,1.0,0.5,1.0,1.0,0.5543002662276524,0.0,0.0,0.5181463840240448,0.0,0.0,0.3333333333333333,0.5,0.375,0.3333333333333333,0.33333333333333337,0.41666666666666663,1.0,0.3333333333333333,0.4,0.75,0.4205607476635514,0.5,0.5,0.45486600846262343,0.5,0.5,1.0,0.2100350058343057,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.6363636363636364,0.6666666666666666,0.75,1.0,0.0,0.0
1.0,0.6666666666666666,0.6482143036505974,0.47843133346155575,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.0,1.0,0.4,1.0,0.75,1.0,0.7777777777777777,0.5,0.11029411764705882,0.2459016393442623,1.0,0.0,0.6000000000000001,0.6000000000000001,0.6666666666666666,0.1775,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.5513698630136986,0.21080196399345338,1.0,1.0,1.0,1.0,0.5145738003672773,0.5404358353510896,0.0,0.700121816992064,0.0,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5833333333333334,1.0,0.3333333333333333,0.6000000000000001,0.75,0.14018691588785046,0.0,0.5,0.32581100141043723,0.5,0.5,1.0,0.1481913652275379,0.16334661354581673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2727272727272727,0.6666666666666666,0.75,0.0,0.0,0.0
1.0,0.6666666666666666,0.4809165489947873,0.38243114933343203,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.6190476190476191,0.4,1.0,0.75,1.0,0.7777777777777777,0.5,0.007352941176470588,0.01639344262295082,1.0,0.0,0.9,0.9,1.0,0.2125,0.6666666666666666,0.5,1.0,0.9999999999999999,0.6666666666666667,1.0,1.0000000000000002,0.203756201275691,0.0,0.0,0.1352739726027397,0.23993453355155483,1.0,1.0,1.0,1.0,0.5597604093270605,0.6595641646489104,0.0,0.7556756968531548,0.3333333333333333,0.0,1.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.75,1.0,0.3333333333333333,0.6000000000000001,1.0,0.009345794392523364,0.5,0.75,0.7418899858956276,0.5,0.5,1.0,0.14585764294049006,0.28685258964143423,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2727272727272727,1.0,1.0,0.0,0.0,0.0
0.75,0.6666666666666666,0.5701802625425323,0.40999325542739284,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.0,0.9523809523809523,0.4,1.0,0.75,0.6000000000000001,0.7777777777777777,0.5,0.007352941176470588,0.03278688524590164,0.0,0.0,0.9,0.9,1.0,0.155,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.6960616438356164,0.2661211129296236,1.0,1.0,1.0,1.0,0.6008179278228858,0.0,0.0,0.5616299607375463,0.0,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.8,0.75,0.009345794392523364,0.5,0.75,0.6107193229901269,0.5,0.5,1.0,0.0,0.08764940239043825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36363636363636365,0.6666666666666666,0.75,0.0,0.0,0.0
0.5833333333333333,0.6666666666666666,0.34266427477173456,0.4008079486457894,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.7142857142857142,0.4,1.0,0.75,1.0,0.6666666666666665,1.0,0.6102941176470588,0.09836065573770493,0.5,0.0,0.4,0.30000000000000004,0.3333333333333333,0.0,0.6666666666666666,0.5,0.25,0.6666666666666666,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.5462328767123288,0.20883797054009823,1.0,1.0,1.0,1.0,0.5072310524883448,0.3893462469733656,0.0,0.647002955347983,0.0,0.0,0.3333333333333333,0.5,0.375,0.3333333333333333,0.6666666666666666,0.5833333333333334,1.0,0.6666666666666666,0.8,0.25,0.7757009345794392,0.0,0.25,0.19887165021156558,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,1.0,0.0,0.4545454545454545,0.6666666666666666,0.75,0.0,0.0,0.0
1.0,0.6666666666666666,0.44563844305834177,0.3562675126894057,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.6190476190476191,0.4,1.0,0.75,1.0,0.6666666666666665,0.5,0.10294117647058823,0.22950819672131148,0.0,0.0,0.9,0.9,0.3333333333333333,0.0,0.6666666666666666,0.75,1.0,0.6666666666666666,0.6666666666666667,0.0,1.0000000000000002,0.11374911410347271,0.0,0.0,0.11686643835616438,0.1497545008183306,1.0,1.0,1.0,1.0,0.3887510387393607,0.4721549636803874,0.0,0.616469947871602,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,0.3333333333333333,0.6000000000000001,0.75,0.1308411214953271,0.0,0.5,0.34767277856135403,0.5,0.5,1.0,0.16802800466744455,0.2649402390438247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.6666666666666666,0.75,0.0,0.0,0.0
